lr-Adam,step,train_loss,epoch,val_loss,val_acc,val_auc,test_loss,test_acc,test_auc
0.001,49,,,,,,,,
,49,1.3753093481063843,0,,,,,,
0.001,99,,,,,,,,
,99,1.2061233520507812,0,,,,,,
0.001,149,,,,,,,,
,149,1.0427805185317993,0,,,,,,
0.001,199,,,,,,,,
,199,0.995796799659729,0,,,,,,
0.001,249,,,,,,,,
,249,0.8662205338478088,0,,,,,,
0.001,299,,,,,,,,
,299,0.8904637694358826,0,,,,,,
0.001,349,,,,,,,,
,349,0.9227901101112366,0,,,,,,
,351,,0,0.6127776503562927,0.7806877493858337,0.975080668926239,,,
0.001,399,,,,,,,,
,399,0.8669615983963013,1,,,,,,
0.001,449,,,,,,,,
,449,0.8377816677093506,1,,,,,,
0.001,499,,,,,,,,
,499,0.7589735984802246,1,,,,,,
0.001,549,,,,,,,,
,549,0.752355694770813,1,,,,,,
0.001,599,,,,,,,,
,599,0.6860299110412598,1,,,,,,
0.001,649,,,,,,,,
,649,0.5966597199440002,1,,,,,,
0.001,699,,,,,,,,
,699,0.6012643575668335,1,,,,,,
,703,,1,0.4611784815788269,0.8295681476593018,0.9868484139442444,,,
0.001,749,,,,,,,,
,749,0.7411348223686218,2,,,,,,
0.001,799,,,,,,,,
,799,0.5670309662818909,2,,,,,,
0.001,849,,,,,,,,
,849,0.5567044019699097,2,,,,,,
0.001,899,,,,,,,,
,899,0.5553610920906067,2,,,,,,
0.001,949,,,,,,,,
,949,0.6637347936630249,2,,,,,,
0.001,999,,,,,,,,
,999,0.5685014724731445,2,,,,,,
0.001,1049,,,,,,,,
,1049,0.4584605395793915,2,,,,,,
,1055,,2,0.4941380023956299,0.8312674760818481,0.9886711239814758,,,
0.001,1099,,,,,,,,
,1099,0.46149972081184387,3,,,,,,
0.001,1149,,,,,,,,
,1149,0.3934711813926697,3,,,,,,
0.001,1199,,,,,,,,
,1199,0.4212130606174469,3,,,,,,
0.001,1249,,,,,,,,
,1249,0.4226089119911194,3,,,,,,
0.001,1299,,,,,,,,
,1299,0.43223387002944946,3,,,,,,
0.001,1349,,,,,,,,
,1349,0.5184152126312256,3,,,,,,
0.001,1399,,,,,,,,
,1399,0.3924262225627899,3,,,,,,
,1407,,3,0.3220783472061157,0.8875449895858765,0.9920898675918579,,,
0.001,1449,,,,,,,,
,1449,0.5655616521835327,4,,,,,,
0.001,1499,,,,,,,,
,1499,0.46608319878578186,4,,,,,,
0.001,1549,,,,,,,,
,1549,0.3668738901615143,4,,,,,,
0.001,1599,,,,,,,,
,1599,0.4564896821975708,4,,,,,,
0.001,1649,,,,,,,,
,1649,0.45461195707321167,4,,,,,,
0.001,1699,,,,,,,,
,1699,0.3913061022758484,4,,,,,,
0.001,1749,,,,,,,,
,1749,0.3839913010597229,4,,,,,,
,1759,,4,0.2333635836839676,0.9226309657096863,0.9957767128944397,,,
0.001,1799,,,,,,,,
,1799,0.3963393270969391,5,,,,,,
0.001,1849,,,,,,,,
,1849,0.48678314685821533,5,,,,,,
0.001,1899,,,,,,,,
,1899,0.3435703217983246,5,,,,,,
0.001,1949,,,,,,,,
,1949,0.3551410436630249,5,,,,,,
0.001,1999,,,,,,,,
,1999,0.35069841146469116,5,,,,,,
0.001,2049,,,,,,,,
,2049,0.4074361324310303,5,,,,,,
0.001,2099,,,,,,,,
,2099,0.37662768363952637,5,,,,,,
,2111,,5,0.30604469776153564,0.9072371125221252,0.9957374334335327,,,
0.001,2149,,,,,,,,
,2149,0.3997950255870819,6,,,,,,
0.001,2199,,,,,,,,
,2199,0.26300176978111267,6,,,,,,
0.001,2249,,,,,,,,
,2249,0.33443424105644226,6,,,,,,
0.001,2299,,,,,,,,
,2299,0.35741013288497925,6,,,,,,
0.001,2349,,,,,,,,
,2349,0.45107823610305786,6,,,,,,
0.001,2399,,,,,,,,
,2399,0.3590847849845886,6,,,,,,
0.001,2449,,,,,,,,
,2449,0.33378809690475464,6,,,,,,
,2463,,6,0.20737840235233307,0.9268292784690857,0.9963807463645935,,,
0.001,2499,,,,,,,,
,2499,0.3660886585712433,7,,,,,,
0.001,2549,,,,,,,,
,2549,0.4315480589866638,7,,,,,,
0.001,2599,,,,,,,,
