lr-Adam,step,train_loss,epoch,val_loss,val_acc,val_auc,test_loss,test_acc,test_auc
0.001,49,,,,,,,,
,49,1.4086847305297852,0,,,,,,
0.001,99,,,,,,,,
,99,1.322860598564148,0,,,,,,
0.001,149,,,,,,,,
,149,1.0478566884994507,0,,,,,,
0.001,199,,,,,,,,
,199,1.0120887756347656,0,,,,,,
0.001,249,,,,,,,,
,249,0.9044687151908875,0,,,,,,
0.001,299,,,,,,,,
,299,0.8601553440093994,0,,,,,,
0.001,349,,,,,,,,
,349,0.8276797533035278,0,,,,,,
,351,,0,0.8773584365844727,0.7021191716194153,0.9539662599563599,,,
0.001,399,,,,,,,,
,399,0.7652971148490906,1,,,,,,
0.001,449,,,,,,,,
,449,0.7780230045318604,1,,,,,,
0.001,499,,,,,,,,
,499,0.6537438035011292,1,,,,,,
0.001,549,,,,,,,,
,549,0.5566353797912598,1,,,,,,
0.001,599,,,,,,,,
,599,0.6655159592628479,1,,,,,,
0.001,649,,,,,,,,
,649,0.6105661988258362,1,,,,,,
0.001,699,,,,,,,,
,699,0.6587872505187988,1,,,,,,
,703,,1,0.4355863630771637,0.8499600291252136,0.9868425726890564,,,
0.001,749,,,,,,,,
,749,0.5775669813156128,2,,,,,,
0.001,799,,,,,,,,
,799,0.5397301316261292,2,,,,,,
0.001,849,,,,,,,,
,849,0.5553112626075745,2,,,,,,
0.001,899,,,,,,,,
,899,0.4354376792907715,2,,,,,,
0.001,949,,,,,,,,
,949,0.5218486785888672,2,,,,,,
0.001,999,,,,,,,,
,999,0.45265692472457886,2,,,,,,
0.001,1049,,,,,,,,
,1049,0.4374256432056427,2,,,,,,
,1055,,2,0.40032413601875305,0.8623550534248352,0.989213764667511,,,
0.001,1099,,,,,,,,
,1099,0.45425963401794434,3,,,,,,
0.001,1149,,,,,,,,
,1149,0.4064047932624817,3,,,,,,
0.001,1199,,,,,,,,
,1199,0.46082305908203125,3,,,,,,
0.001,1249,,,,,,,,
,1249,0.3776818811893463,3,,,,,,
0.001,1299,,,,,,,,
,1299,0.36887288093566895,3,,,,,,
0.001,1349,,,,,,,,
,1349,0.46150070428848267,3,,,,,,
0.001,1399,,,,,,,,
,1399,0.4368634521961212,3,,,,,,
,1407,,3,0.25018057227134705,0.9148340821266174,0.9945105910301208,,,
0.001,1449,,,,,,,,
,1449,0.4918566942214966,4,,,,,,
0.001,1499,,,,,,,,
,1499,0.48405158519744873,4,,,,,,
0.001,1549,,,,,,,,
,1549,0.34049588441848755,4,,,,,,
0.001,1599,,,,,,,,
,1599,0.3750377297401428,4,,,,,,
