lr-Adam,step,train_loss,epoch,val_loss,val_acc,val_auc,test_loss,test_acc,test_auc
0.001,49,,,,,,,,
,49,0.7746644616127014,0,,,,,,
0.001,99,,,,,,,,
,99,0.741589367389679,0,,,,,,
0.001,149,,,,,,,,
,149,0.5288988351821899,0,,,,,,
0.001,199,,,,,,,,
,199,0.4746924340724945,0,,,,,,
0.001,249,,,,,,,,
,249,0.5095899105072021,0,,,,,,
0.001,299,,,,,,,,
,299,0.3294791877269745,0,,,,,,
0.001,349,,,,,,,,
,349,0.282512366771698,0,,,,,,
,351,,0,0.38712745904922485,0.8630547523498535,0.986687958240509,,,
0.001,399,,,,,,,,
,399,0.2609209418296814,1,,,,,,
0.001,449,,,,,,,,
,449,0.3214971423149109,1,,,,,,
0.001,499,,,,,,,,
,499,0.29742321372032166,1,,,,,,
0.001,549,,,,,,,,
,549,0.22643809020519257,1,,,,,,
0.001,599,,,,,,,,
,599,0.2485610395669937,1,,,,,,
0.001,649,,,,,,,,
,649,0.20457695424556732,1,,,,,,
0.001,699,,,,,,,,
,699,0.2007211148738861,1,,,,,,
,703,,1,0.3322286009788513,0.8849460482597351,0.994188666343689,,,
0.001,749,,,,,,,,
,749,0.19254177808761597,2,,,,,,
0.001,799,,,,,,,,
,799,0.1200886070728302,2,,,,,,
0.001,849,,,,,,,,
,849,0.09624814987182617,2,,,,,,
0.001,899,,,,,,,,
,899,0.20134961605072021,2,,,,,,
0.001,949,,,,,,,,
,949,0.14604203402996063,2,,,,,,
0.001,999,,,,,,,,
,999,0.1728479117155075,2,,,,,,
0.001,1049,,,,,,,,
,1049,0.11381734907627106,2,,,,,,
,1055,,2,0.20778831839561462,0.9229308366775513,0.9966654777526855,,,
0.001,1099,,,,,,,,
,1099,0.14989407360553741,3,,,,,,
0.001,1149,,,,,,,,
,1149,0.1101163774728775,3,,,,,,
0.001,1199,,,,,,,,
,1199,0.09673406928777695,3,,,,,,
0.001,1249,,,,,,,,
,1249,0.106765016913414,3,,,,,,
0.001,1299,,,,,,,,
,1299,0.06851476430892944,3,,,,,,
0.001,1349,,,,,,,,
,1349,0.1865643858909607,3,,,,,,
0.001,1399,,,,,,,,
,1399,0.09571605175733566,3,,,,,,
,1407,,3,0.2665201425552368,0.9086365699768066,0.9954472184181213,,,
0.001,1449,,,,,,,,
,1449,0.1412057727575302,4,,,,,,
0.001,1499,,,,,,,,
,1499,0.10365423560142517,4,,,,,,
0.001,1549,,,,,,,,
,1549,0.07849503308534622,4,,,,,,
0.001,1599,,,,,,,,
,1599,0.13628138601779938,4,,,,,,
0.001,1649,,,,,,,,
,1649,0.10724804550409317,4,,,,,,
0.001,1699,,,,,,,,
,1699,0.13691888749599457,4,,,,,,
0.001,1749,,,,,,,,
,1749,0.12076631933450699,4,,,,,,
,1759,,4,0.4681504964828491,0.8605557680130005,0.9962837100028992,,,
0.001,1799,,,,,,,,
,1799,0.05772000551223755,5,,,,,,
